time,open,high,low,close,tick_volume,spread,real_volume
2018-10-18,7308.79,7308.79,7093.91,7153.91,274881,0,0
2018-10-19,7152.41,7243.16,7092.91,7103.91,252001,0,0
2018-10-22,7085.04,7209.41,7056.41,7156.91,234131,0,0
2018-10-23,7154.41,7162.66,6943.41,7140.66,424751,0,0
2018-10-24,7135.54,7172.91,6785.91,6874.66,513121,0,0
2018-10-25,6875.66,7074.66,6831.16,6889.41,473251,0,0
2018-10-26,6881.54,6985.41,6734.41,6867.66,488121,0,0
2018-10-29,6894.29,6990.66,6579.91,6721.16,648371,0,0
2018-10-30,6716.41,6848.41,6660.66,6842.66,249251,0,0
2018-10-31,6863.41,7038.16,6816.16,6958.41,349001,0,0
2018-11-01,6958.66,7078.91,6936.41,7028.41,215251,0,0
2018-11-02,6975.16,7142.41,6912.41,6969.41,454251,0,0
2018-11-05,6972.54,6997.66,6864.41,6948.41,242371,0,0
2018-11-06,6946.16,7033.41,6906.41,7012.91,187251,0,0
2018-11-07,7009.91,7222.91,6989.16,7218.16,259251,0,0
2018-11-08,7211.29,7228.41,7131.16,7148.66,131871,0,0
2018-11-09,7145.29,7163.41,6987.91,7028.16,233871,0,0
2018-11-12,7025.16,7102.16,6824.91,6839.41,368751,0,0
2018-11-13,6845.91,6960.16,6799.91,6854.91,311501,0,0
2018-11-14,6860.79,6927.91,6745.16,6781.91,286621,0,0
2018-11-15,6778.79,6919.16,6711.16,6886.66,308131,0,0
2018-11-16,6872.41,6909.16,6805.16,6895.66,184751,0,0
2018-11-19,6872.66,6932.91,6631.66,6673.41,403251,0,0
2018-11-20,6667.29,6668.41,6448.66,6521.91,294121,0,0
2018-11-21,6526.66,6646.41,6507.66,6576.41,227751,0,0
2018-11-22,6583.04,6596.16,6505.41,6522.79,121251,0,0
2018-11-23,6524.29,6599.66,6493.91,6527.91,207881,0,0
2018-11-26,6538.41,6695.16,6529.41,6638.16,231751,0,0
2018-11-27,6638.91,6721.66,6612.41,6715.16,142251,0,0
2018-11-28,6724.66,6921.91,6708.41,6914.66,237001,0,0
2018-11-29,6907.91,6942.56,6842.66,6904.66,196551,0,0
2018-11-30,6903.66,6973.79,6870.41,6962.91,147511,0,0
2018-12-03,7039.79,7137.41,7014.41,7053.91,231881,0,0
2018-12-04,7052.91,7053.41,6781.91,6800.41,290501,0,0
2018-12-05,6794.66,6854.66,6790.41,6836.41,86751,0,0
2018-12-06,6830.66,6852.41,6629.41,6840.66,436001,0,0
2018-12-07,6836.16,6850.66,6594.16,6629.41,306251,0,0
2018-12-10,6589.41,6713.16,6534.41,6692.41,254501,0,0
2018-12-11,6693.66,6807.66,6649.91,6680.66,302501,0,0
2018-12-12,6682.41,6870.41,6682.41,6763.91,294501,0,0
2018-12-13,6770.66,6836.66,6722.16,6743.41,201751,0,0
2018-12-14,6746.16,6747.91,6581.91,6582.16,168001,0,0
2018-12-17,6573.91,6632.66,6399.35,6469.15,361846,0,0
2018-12-18,6466.86,6552.66,6432.86,6439.86,212601,0,0
2018-12-19,6433.87,6575.86,6277.86,6324.36,486491,0,0
2018-12-20,6327.67,6383.87,6160.87,6302.37,420701,0,0
2018-12-21,6296.66,6318.76,6011.36,6060.36,378501,0,0
2018-12-24,6013.16,6104.96,5870.36,5872.26,328301,0,0
2018-12-26,5872.26,6291.16,5802.86,6260.76,588101,0,0
2018-12-27,6262.15,6317.66,6039.86,6293.76,523991,0,0
2018-12-28,6298.86,6387.86,6229.36,6279.96,298101,0,0
2018-12-31,6307.96,6362.06,6268.86,6338.76,155601,0,0
2019-01-02,6334.86,6390.26,6140.86,6245.86,409801,0,0
2019-01-03,6218.95,6288.86,6136.81,6158.51,243656,0,0
2019-01-04,6158.51,6450.81,6124.81,6420.31,390201,0,0
2019-01-07,6439.81,6522.51,6389.81,6491.91,213301,0,0
2019-01-08,6492.51,6573.31,6454.81,6540.11,189401,0,0
2019-01-09,6538.31,6632.61,6535.31,6591.81,141101,0,0
2019-01-10,6586.01,6630.81,6516.31,6617.91,197101,0,0
2019-01-11,6615.11,6622.11,6561.31,6602.91,109401,0,0
2019-01-14,6584.01,6586.41,6507.61,6533.11,106701,0,0
2019-01-15,6531.31,6674.51,6528.61,6665.31,157801,0,0
2019-01-16,6663.91,6721.41,6650.31,6658.71,137001,0,0
2019-01-17,6655.91,6746.51,6599.21,6716.51,234001,0,0
2019-01-18,6710.11,6815.11,6699.51,6791.91,149401,0,0
2019-01-21,6776.61,6782.01,6730.01,6750.01,77401,0,0
2019-01-22,6744.11,6766.81,6600.61,6642.91,231201,0,0
2019-01-23,6640.51,6713.41,6582.31,6660.11,242601,0,0
2019-01-24,6654.21,6708.61,6644.01,6675.91,107501,0,0
2019-01-25,6674.31,6800.81,6667.71,6785.61,154901,0,0
2019-01-28,6774.61,6782.81,6640.81,6690.71,200101,0,0
2019-01-29,6688.61,6713.81,6610.01,6674.51,193501,0,0
2019-01-30,6685.81,6838.11,6650.81,6831.51,228901,0,0
2019-01-31,6842.81,6935.81,6832.31,6924.71,125101,0,0
2019-02-01,6895.31,6920.31,6854.01,6872.41,109701,0,0
2019-02-04,6858.11,6972.81,6853.01,6938.31,159401,0,0
2019-02-05,6931.71,7028.51,6923.51,7009.11,132601,0,0
2019-02-06,7005.61,7032.11,6966.01,6982.61,109201,0,0
2019-02-07,6982.31,6988.11,6850.31,6897.01,190301,0,0
2019-02-08,6892.61,6917.11,6832.71,6915.01,146401,0,0
2019-02-11,6916.51,6962.21,6889.21,6903.81,133301,0,0
2019-02-12,6901.31,7021.61,6896.61,7014.41,136901,0,0
2019-02-13,7010.91,7063.41,7005.91,7013.11,112801,0,0
2019-02-14,7009.21,7049.51,6965.21,7011.81,166001,0,0
2019-02-15,7011.11,7087.41,6968.91,7057.71,190401,0,0
2019-02-18,7058.92,7077.11,7050.41,7075.11,37211,0,0
2019-02-19,7074.11,7089.81,7030.81,7064.31,108201,0,0
2019-02-20,7059.51,7097.61,7025.21,7064.61,139701,0,0
2019-02-21,7064.31,7106.61,6998.31,7030.41,182701,0,0
2019-02-22,7022.21,7094.91,7013.01,7093.71,92301,0,0
2019-02-25,7105.51,7163.41,7097.11,7116.21,121901,0,0
2019-02-26,7116.61,7146.21,7068.91,7106.11,144101,0,0
2019-02-27,7102.41,7127.31,7043.91,7119.71,149501,0,0
2019-02-28,7115.71,7124.91,7068.31,7104.71,102201,0,0
2019-03-01,7101.11,7159.71,7093.51,7153.71,79801,0,0
2019-03-04,7173.71,7208.01,7071.21,7140.51,240401,0,0
2019-03-05,7140.71,7178.91,7121.41,7155.61,100101,0,0
2019-03-06,7151.11,7167.81,7104.11,7107.31,83601,0,0
2019-03-07,7104.01,7119.81,7000.11,7024.51,159901,0,0
2019-03-08,7022.41,7031.31,6938.31,7029.01,179401,0,0
2019-03-11,7019.01,7175.11,6996.41,7171.41,205001,0,0
2019-03-12,7167.11,7221.31,7162.81,7210.61,73501,0,0
2019-03-13,7206.71,7294.81,7182.31,7270.71,161001,0,0
2019-03-14,7270.71,7288.61,7235.61,7240.31,75601,0,0
2019-03-15,7242.81,7331.21,7240.21,7315.91,108901,0,0
2019-03-18,7309.41,7350.61,7293.11,7334.41,90001,0,0
2019-03-19,7333.81,7392.31,7322.51,7350.01,123401,0,0
2019-03-20,7347.11,7427.31,7320.61,7370.81,189701,0,0
2019-03-21,7374.51,7511.61,7339.11,7501.11,218401,0,0
2019-03-22,7497.91,7515.81,7324.31,7332.01,217101,0,0
2019-03-25,7346.11,7363.91,7263.91,7336.21,190101,0,0
2019-03-26,7335.41,7421.51,7315.21,7355.81,192201,0,0
2019-03-27,7356.71,7379.21,7251.71,7299.71,198001,0,0
2019-03-28,7298.21,7347.21,7264.41,7329.71,134101,0,0
2019-03-29,7324.91,7389.61,7324.91,7388.31,66001,0,0
2019-04-01,7405.21,7481.41,7403.81,7473.31,87101,0,0
2019-04-02,7468.91,7508.01,7459.31,7492.41,73901,0,0
2019-04-03,7491.61,7592.11,7489.11,7556.51,141101,0,0
2019-04-04,7557.91,7570.91,7497.01,7537.51,127401,0,0
2019-04-05,7537.71,7587.01,7531.61,7586.61,61901,0,0
2019-04-08,7582.91,7605.01,7538.21,7603.61,112901,0,0
2019-04-09,7602.21,7610.51,7556.21,7567.51,73901,0,0
2019-04-10,7568.71,7623.61,7554.01,7622.71,85201,0,0
2019-04-11,7620.61,7631.91,7579.91,7597.51,80901,0,0
2019-04-12,7594.41,7643.71,7589.71,7631.91,70501,0,0
2019-04-15,7632.71,7639.11,7579.41,7631.11,117801,0,0
2019-04-16,7631.21,7675.51,7629.81,7658.01,64601,0,0
2019-04-17,7657.71,7714.61,7649.81,7668.51,118801,0,0
2019-04-18,7670.01,7703.91,7644.11,7697.11,92501,0,0
2019-04-22,7699.51,7729.61,7653.71,7724.01,127301,0,0
2019-04-23,7722.11,7827.51,7708.81,7817.11,142401,0,0
